Strategy,Label
Ich wäge ab was mir wichtiger ist.,-1
Ich suche mir vorab Methoden zur Bewältigung von Flugangst.,-1
Ich versuche meine Sorge mir nahe stehenden Personen mitzuteilen.,-1
Ich fliege nicht.,3
Ich halte mir die Vorteile vor Augen um meine Flugangst zu bewältigen,23
ich beginne eine Psychotherapie um Flugangst zu bekämpfen,6
ich suche nach möglichem Zug & Bus Verbindungen,2
"Fliegen tue ich schon lange nicht mehr (wegen CO2), also via Zugreise!",2
ich höre mir verschiedene Podcasts zum Thema Fliegen an.,3
ich kaufe mir ein starkes Schlafmittel und nehme Vertrag an,-1
"ich rufe einen Freund von mir an, der Pilot ist und lasse mich von ihm berieseln (über Sicherheit etc)",-1
ich schaue mir die Statistiken an (zum Thema,3
Wohnung wechseln und einmalig Auto/Schiff,-1
Flugangst ignorieren und unter stress/angst arbeiten,-1
Vertrag nicht annehmen,17
"Mich damit trösten, dass etwas Grossartiges auf mich wartet",-1
Mit Freunden/Familie sprechen,29
Informationen über die Sicherheit des Fliegens einholen,3
Etwas zur Ablenkung während des Fluges suchen (gute Musik z.B.),-1
Statistik zu Flugzeugunfällen suchen und Angst als unbegründet verstehen,3
Angst gegen möglichen Vertrag abwägen und wählen was mir wichtiger ist,-1
Tabletten gegen Flugangst besorgen,1
Freund/Familie überreden mit zu fliegen,3
"Sich einreden, dass nichts passieren kann",33
Jobangebot absagen,17
"Erwägen, ein anderes Reisemittel zu nehmen",2
Mut machen bis zum Flug & „einfach einsteigen“,3
Sich Stressbewältigungsmethoden beibringen,5
Auf die Fakten berufen (Fliegen ist sehr sicher),3
Per Bahn/Auto fahren,2
Mit Freunden/Familien über die Angst sprechen,18
Sich einen Flugbegleiter suchen,3
2 Tage vor Flug nicht schlafen um während dem Flug durchzuschlafen,3
Therapie gegen Flugangst machen,6
Anderen Weg suchen um dorthin zu reisen,2
Angebot ablehnen,17
Neues Angebot suchen,17
Versuchen meine Emotionen zu kontrollieren,18
Beruhigungsmittel vor Flug einnehmen,1
eine Freundin zur Beruhigung mitnhemen,-1
Flugangst versuchen zu bewältigen,-1
wenn möglich alternativ mit der Bahn fahren,2
"Partner/beste Freunden bitten, mitzukommen",-1
Beruhigungstablette nehmen,1
Ich gehe in Therapie um meine Angst zu überwinden,6
Ich nehme Beruhigungsmittel vor dem Flug,1
Ich lehne den Vertrag ab,17
Ich meditiere und versuche so Ruhe zu bewahren,5
Ich versuche die Gedanken zu verdrängen,9
Ich quäle mich durch egal ob ich hyperventiliere,-1
Ich fliege trotzdem,3
"Ich rede mit meinem Chef und nehme Bus, Bahn, Schiff etc.",2
Ich verzichte auf den Vertrag,17
Ich betrinke mich am Flughafen und schlafe während des Flugs,-1
Ich mache eine Therapie gegen Flugangst.,6
"Ich besorge mir Medikamente, die die Flugangst dämpfen.",1
Ich lehne den Job ab.,17
Ich betrinke mich vor jedem Flug.,-1
Ich übersiedle an den Ort dauerhaft.,7
Ich suche mir ein alternatives Verkehrsmittel.,2
"Homeoffice, Skype?",10
kleine Strecke fliegen versuchen,3
"Freund(in) um Hilfe bitten, mitzufliegen",3
"umziehen, in Nähe von Unternehmen ziehen",-1
Flugangst-Training,-1
wenn irgendwie mögl. anderes Verkehrsmittel,2
alternatives Unternehmen suchen,17
Trotzdem fliegen damit es besser wird,3
Vertrag ablehnen wenn man sich Angst nicht stellen will,-1
Den Auftrag ablehnen,17
Mit Freunden darüber reden,27
sich Tipps holen,21
Sich klar machen das die Angst unbegründet ist,18
sich Mut zureden,23
Entspannungsübungen einüben,5
sich während dem Flug ablenken,-1
Nach anderen Transportmitteln schauen,2
Sich Mut „antrinken“,-1
Ich rede mit einem Psychologen,-1
Ich lerne Entspannungstechniken,5
"Ich denke an Situationen, in denen ich mutig war",23
Ich rede mit einer Freundin darüber,28
Ich bespreche mit meinem Vorgesetzten die Situation,35
Ich suche nach alternativen Wegen um an en Ort zu gelangen,2
Ich nehme Medikamente gegen die Angst,1
Ich lehne den Auftrag ab,17
Ich höre mi Entspannungsmusik an,5
"Ich frage, ob mich eine Person begleiten kann",-1
Ich versuche nehme den Vertrag an und gehe für die Flugangst in Therapie.,6
Ich suche nach anderen Transportmitteln.,2
"Ich erkläre der Unternehmen meine Angst und frage nach alternativen Möglichkeiten, Teil des Untern. zu werden.",-1
Ich versuche mich während des Fluges abzulenken und gebe Flugpersonal über meine Situation bescheid.,3
Ich fliege mit einem/r FreundIn.,3
Ich lehne das Angebot ab.,17
Ich plane mehr Zeit ein und suche Alternativen zum Fliegen.,2
Ich versuche meine Angst zu lindern (z.B. Statistiken zur „Flugzeug-Sicherheit“ suchen.,-1
"Ich bitte eine mir nahe Person mitzukommen, da die Angst dann geringer ist.",-1
Ich versuche mich bis zum Flug abzulenken.,4
Ich besorge mir Medikamente.,1
Ich gehe in Therapie.,6
Ich hinterfrage warum ich angst habe.,-1
Ich lehne ab.,17
Ich suche andere Verkehrsmöglichkeiten.,2
Ich lenke mich ab.,4
Meditieren/Entspannen,5
Ich rede mit Freunde darüber,28
Rede mit Familie darüber,29
les im Internet nach Hilfe,21
"Ich frage, ob es Alternativen zum Flug gibt",2
Ich hole mir (Pflanzliche) Beruhigungsmittel,1
Ich gehe alle mgl Flugszenarien mental durch,3
Ich frage Frunde/Familie nach Tipps gg Angst,18
Ich trainiere Beruhigungstechniken,5
Ich informiere mich über Statistiken zu Flugunfällen,3
Ich versuche zuvor Entspannungstechniken zu lernen,5
Ich nehme Medikamente gegen Flugangst,1
Ich lehne den Vertrag ab (Schwachsinn),17
Ich prüfe alternative Anreiseverfahren,2
Ich fliege einfach und ertrage das Leid,3
"Ich versuche eine Zugverbindung zu finden, auch besser fürs Klimagewissen :)",2
"Ich mache mir klar, dass eigentlich nichts passieren kann",33
Ich versuche mich durch Entspannungsübungen zu entspannen,5
Ich nehme Beruhigungstabletten,1
Ich versuche wende mich an einen Therapeuten,6
Ich besorge mir Beruhigungsmittel,1
Ich frage bekannte/Familie nach Techniken zur beruhigung,-1
Ich erkläre dem Geschäftsführer des Unternehmens mein Dilemma,35
nach einer anderen Möglichkeit suchen dorthin zu kommen (falls möglich),2
"eine Vertrauensperson (meinen Freund, Schwester) bitten mich zu begleiten",-1
nach Entspannungsübungen für während dem Flug suchen,3
bei extremer Flugangst Tabletten von einem Arzt verschreiben lassen,1
Filme/Serien schauen während dem Flug,-1
"Ich wende mich an enge Freunde und Familie, um das Problem zu bereden und mir Ratschläge einzuholen",-1
Ich versuche mit einer mir vertrauenswürdig erscheinenden Geschäftspartners des Unternehmens in Kontakt zu kommen und ihn aufzuklären,-1
Ich versuche mich zu beruhigen,-1
"Ich sage mir, wenn das Unternehmen in diesem Notfall nicht einen Schritt auf mich zu macht, dann haben sie kein echtes Interesse an mir",-1
"Versuchen meine Flugangst zu überwinden, indem ich drüber mit Freunden spreche",-1
"Mir einreden, dass nichts passieren wird",33
Daran denken wieviele Menschen täglich fliegen.,3
Das Angebot ablehnen.,17
An die vielen Vorteile des Vertrags denken.,-1
Vorteile aufschreiben und mir bewusst machen,23
Unfallstatistiken Flugunfälle anschauen (sehr unwahrscheinlich),3
mit Freunde/Kollegen darüber reden,29
"mir bewusst einreden, dass alles gut läuft (z.B. vor Spiegel)",-1
bewusst werden was ich verpasse wenn ich nicht fliege,3
Therapie gegen Flugangst,6
stattdessen wie Greta segeln,3
den Job aufgeben bzw. nicht annehmen,17
"mit dem Chef darüber reden, ob es auch andere Standpunkte gibt.",35
sich der Angst stellen & fliegen,3
Beruhigungstabletten nehmen & fliegen,1
Meditieren (beim/vorm Fliegen),-1
Progressive Muskelrelaxation,5
Psychologen zur Hilfe holen,6
selbst positive Gedanken machen,-1
Vorteile und Nachteile aufzählen,-1
in Gedächtnis rufen wie toll Job ist,-1
ablenkende Sachen für Flug überlegen,-1
mit Freunden etc drüber reden und Meinungen einholen,27
Entspannungstechniken üben/raussuchen,5
Glücksbringer mitnehmen,-1
Freund/Familienmitglieder fragen ob er/sie mitkommen wprde,-1
Ich spreche mit Freunden & Familie darüber um sichere Gedanken zu bekommen.,-1
Ich bitte meinen Freund mich eventuell zu begleiten.,-1
"Ich versuche mich mit den pos. Dingen eines Flugs auseinanderzusetzen. (Ausblick, das Reiseziel)",3
Ich mache einen Kurzstreckenflug vorher um mich daran zu gewöhnen.,3
Ich plane die Reise genau und packe mir Beruhigungstropfen ein.,-1
„durchbeissen“,-1
Musik hören,-1
Zeitungen lesen,-1
sich die ganze Technik am Flughafen und bei den Flugzeugen ansehen,3
betrinken (wenn kein Meeting am gleichen Tag),-1
Ich suche einen Therapeuten auf,6
Ich versuche mich durch Entspannungsübungen vorzubereiten auf den Flug,3
Ich nehme den Vertrag nicht an,17
Ich bitte das Unternehmen um andere Optionen (von zu Hause aus arbeiten),-1
Ich versuche meine Angst zu unterdrücken,9
Ich hole mir Beruhigungsmittel von einem Arzt,1
Ich bin bei ihnen und helfe ihnen so gut es geht.,-1
Ich mache Sport.,-1
Ich rede mit einem Freund darüber.,28
"Ich frage andere Angehörige, wie es ihnen geht.",-1
Ich esse Schokolade.,11
Ich verdränge die Situation.,9
Ich telefoniere mit ihnen und erkundige mich nach dem Zustand.,-1
Ich fahre einfach sinnlos mit dem Auto herum.,-1
Verwandte im Krankenhaus besuchen,7
Trauer mit Freunden/Familie besprechen und Trost suchen,-1
Trauer ignorieren und keinen weiteren Gedanken an den kranken Verwandten verschwenden,-1
Trauer alleine ausleben,20
seinen Hobbies nachgehen um sich abzulenken,4
feiern gehen,-1
Mit meinen Angehoeringen darueber sprechen,0
Besuch abstatten,7
Tagebuch schreiben,-1
Ein hoffnungsvolles Lied hoeren,0
In ein Kissen weinen,20
Schoene Erinnerungen m. d. Person(en) hervorrufen,0
Eine Dankbarkeitsliste schreiben,-1
Sport betreiben,-1
Ins Bett kuscheln,-1
Familie u. Freunde  ,29
Im Krankenhaus besuchen gehen,7
Mit Freunden/Familie darueber reden,0
Ablenkung,-1
Tief Luft holen und bewegen,5
Spazieren gehen,-1
Weinen nicht vermeiden/unterdruecken,0
Gemeinsame Freunde aufsuchen/anrufen,-1
diese Verwandten besuchen gehen,7
1x drueber schlafen,0
Auf hier & jetzt fokussieren und nicht in d,-1
"oft Besuchen, nicht immer alleine",-1
"mit Leuten darueber Reden, auch mit Betroffenen",0
Telefonieren,10
Beten,-1
zusammen mit einer Freundin tanzen,-1
Sport machen,-1
heisse Schokolade trinken/Essen,11
einen schoenen/lustigen Film anschauen,4
Musik hoeren,-1
weinen,-1
Ich gehe sie besuchen.,7
Ich rede mit meiner Familie darueber.,0
Ich lenke mich ab.,4
"Ich informiere mich ueber die Krankheit, ich kann ihr eventuell helfen bzw. ihr Leiden besser machen.",0
"Ich versuche ihr, die Zeit dort so angenehm wie moeglich zu bereiten.",0
Ich rufe sie an.,10
Ich schicke ihr meine besten Wuensche fuer die Genesung.  ,0
Verwandte im KH besuchen,7
Gespraech mit Partner o. Freunden suchen,0
eigene Gesundheit wertschaetzen,16
mit Haustier kuscheln,-1
Laufen gehen,-1
Musik hoeren,-1
mit Arbeit ablenken,4
Spazieren gehen,-1
Backen ,11
Ich rede mit Anderen ueber meine Gefuehle,0
Ich besuche Sie und unterstütze sie wo ich kann,-1
Ich nehme mir Zeit fuer mich um zu trauern/alleine zu sein/zu beruhigen,-1
Ich rufe sie an,10
Ich bringe Essen vorbei,11
ich mache eine Verlustbewaeltigungstherapie,6
Ich starte eine Hilfsinitiative fuer Menschen mit dieser Krankheit,0
Ich rede mit Aerzten,-1
Ich informiere mich ueber die Krankheit,0
ich nehme mir frei,-1
Ich fahr sofort ins Krankenhaus wenn moeglich,7
"Ich rufe meine Mutter an und bitte sie, um Rat zum Umgang damit.",-1
Ich bete fuer sie.,0
"Ich weine mich aus, um danach klarer denken zu koennen.",0
"Ich atme tief durch und gehe nicht vom schlimmsten aus, positiv bleiben!",-1
"Wenn Ichs durch dritte erfahre, ruf ich persoenlich zum Reden nochmal an.",0
Ich rede mit Freunden zum Verarbeiten drueber,0
ich fahre zu ihnen & verbringe kostbare Zeit mit ihnen,22
"ich versuche stark fuer sie zu sein, weil deprimiert sind sie wahrscheinlich eh genug von allein",-1
ich informiere mich ueber die Krankheit & Therapien,0
"ich versuche mich nicht zu sehr davon emotional vereinnahmen zu lassen, um Staerke zu wahren",-1
"ich plane einen Ueberraschung fuer sie, um sie aufzuheitern",0
Hinfahren um für die Person da zu sein,22
Mit Freunden drüber reden,27
Sich ablenken,-1
In Arbeit versenken,-1
Die Person anrufen und darüber reden,29
ich besuche sie,7
ich führe Telefonate mit ihnen,10
ich suche nach Behandlungsmöglichkeiten,16
"Ich esse Schokolade, ähnliches",11
ich distanziere mich von meiner Trauer,-1
ich erfreue mich an meiner eigenen Gesundheit,16
"ich frage, ob ich etwas tun kann, versuche aktiv zu werden",-1
"ich lenke mich ab, Sport o.ä.",4
ich akzeptiere die Trauer,20
Es so hinnehmen wie es ist,-1
sich an die schönen Zeiten/Erinnerungen mit ihnen (zusammen) fokussieren,22
Dankbar sein für alles was man mit ihnen erlebt hat,-1
Häufigere Besuche vornehmen,7
Mut zuzusprechen (ihnen und sich selbst),23
"Wissen, dass immer noch eine Chance zum „Besserwerden“ besteht",33
ich verbringe die Zeit mit Freunden um mich abzulenken,4
ich lasse das Gefühl v. Traurigkeit komplett zu und weine so lange bis ich mich besser fühle,20
ich mache mir klar das der Tod nicht das Ende ist,33
ich verabschiede mich von dem Verwandten,-1
ich nehme mir eine Auszeit und verbringe alleine Zeit in der Natur,5
ich suche einen Therapeuten auf,6
Ich besuche den Verwandten.,7
Ich weine bis ich mich besser fühle.,20
Ich rede mit anderen Verwandten.,-1
Ich wende mich Alkohol und Drogen zu.,-1
mich im Krankenhaus erkundigen,-1
meine Eltern anrufen & erkundigen,-1
die Verwandten besuchen,7
weinen,-1
mit jemandem darüber reden,27
mich ablenken,-1
Ich rufe meine Mutter an und rede mit ihr darüber,-1
Ich trauere,20
Ich treffe mich mit Freunden und bitte um ihre Unterstützung,-1
Ich akzeptiere den Umstand nicht und werden wütend,-1
Ich versuche ihm/ihr bestmöglich Beistand zu leisten in dieser schweren Zeit,-1
Ich mache eine Reise nach Ibiza und vergessen die Umstände,-1
zu der Person gehen,7
sich ablenken,-1
jemanden die Sorgen erzählen,-1
einfach Witze über alles machen,-1
zu Gott beten,-1
"Vertrauen in den Tod haben, und dass zu sterben nicht schlimm ist",33
mit der Person telefonieren,10
mit einer Ärztin/Arzt darüber sprechen,-1
sich aufregen bis man emotional ruhiger ist,-1
Die Situation akzeptieren und an Lösungen arbeiten.,-1
Sich über die Krankheit und dem ausloser bzw lebensstil der Verwandten informieren.,16
"Ich schliesse mich mit anderen Verwandten zusammen und verbringe meine Zeit mit diesen, Dabei beraten wir uns wie wir die Krankheit a) beseitigen b) so so ertragbar wie möglich für die Verwandt machen können",-1
Ich besuche die Verwandten im KH,7
Ich rufe sie an,10
Ich suche Hilfe bei vertrauter Person,-1
Ich denke nicht daran,9
Ich versuche anderen Verwandten beizustehen,-1
Trauer teilen,20
Musik spiele/hören,-1
Die Verwandten regelmässig besuchen um die Zeit noch zu nutzen,-1
mit Freunden/Familie reden,29
wenn nötig ein Urlaub nehmen von der Arbeit um sich zu fangen,-1
sich mit dem möglichen Verlust auseinandersetzen (reflektieren),-1
an die gute Zeit mit den Personen denken,22
weinen,-1
Ich fahre zu meinen Verwandten,7
Ich informiere mich über Behandlungsmöglichkeiten,16
"Ich rede mit meinen Freunden, … darüber",28
Ich kümmere mich so gut es geht um meine Verwandten,-1
Ich lebe mein Leben normal weiter,-1
"Ich frage meine Verwandten, wie ihr Plan aussieht",-1
Ich gehe zu einem Therapeuten um über alles zu sprechen,6
Ich reflektiere das Leben meiner Verwandten,-1
Ich versuche mich abzulenken,4
Besuchen/sich verabschieden,7
Briefe schreiben,-1
Erinnerungen nutzen,-1
Mit Freunden etwas unternehmen,-1
Sport machen,-1
weinen,-1
Den Verwandten etwas gutes tun,-1
Verwandte anrufen,-1
Verwandten/Freunden sprechen,29
Ablenken,-1
Sport,-1
Alkohol trinken,12
Darüber Nachdenken was akut getan werden kann,-1
hinfahren,7
anderen Verwandten helfen damit umzugehen,-1
Darüber nachdenken was getan werden muss,-1
Unterstützung suchen,21
Trauerbegleitung,-1
mich ausheulen,-1
Lernen,-1
Versuchen Kontakt zu den/dem Verwandte/n abzunehmen (z.B. telefonisch),-1
Die/den Verwandte/n im Krankenhaus besuchen,7
mit jemanden darüber sprechen,27
Nach Details fragen + über Krankheit informieren,16
sich mit Lesen/Filmen/Serien ablenken,4
in die Heimat fahren/Zug-/Flugticket buchen > Besuch + Nähe zu anderen Verwandten,-1
andere Verwandte anrufen,-1
Gespräch mit Freunden suchen,-1
Ich lass Raum für meine Gefühle,20
Ich spreche mit meiner Familie darüber,-1
Ich hole mir nähere Informationen beim/der behandelnden Arzt*in ein,16
"Ich fahre ins Krankenhaus, um meinen Verwandte beizustehen",7
ich besuche die Verwandten so oft wie möglich,7
ich mache ihn kleine Geschenke - sie sollen sich freuen in dieser schweren Zeit,22
ich rede mit Nahestehende über meine Trauer,-1
"ich kümmere mich um die schwer Kranken, indem ich mit ihnen viel rede",-1
"ich rede mit Ärzten, dass ich Gewissheit über die Situation habe",16
"ich lese Ratschläge im Internet/Bücher, wie man mit sowas umgeht",-1
Verwandte besuchen,7
sich Ablenken,-1
genaueres über Zustand der Person erfahren,16
sich mit Freunden darüber unterhalten,27
Zeit mit der Person verbringen,22
Ich frage mich warum ich traurig bin,-1
Ich schreibe in mein Tagebuch & versuche die Gefühle zu verarbeiten,-1
Ich gehe den Verwandten besuchen,7
Ich schreibe eine Karte,10
Ich spreche mit anderen Familienmitgliedern und suche/gebe Unterstützung,21
"Ich sage mir, dass solche Situationen im Leben normal sind & ich lernen muss damit umzugehen",-1
Ich informiere mich über die Chancen der Krankheit,16
sofort Besuch machen & Zeit mit demjenigen verbringen,7
über die Krankheit informieren,16
mit anderen Verwandten darüber reden,29
weinen,-1
täglich besuchen,7
"dem Verwandten kleine Geschenke mitbringen (Blumen, Schoko)",-1
mit den Verwandten Spiele spielen,7
oft anrufen & fragen wie es ihm geht,-1
nachfragen was genau passiert ist,-1
sie besuchen gehen,7
sie wenn möglich (sofort) anrufen,10
über SMS in Kontakt bleiben & nach Updates fragen,10
an gemeinsame Momente erinnern,-1
sich selber zureden dass alles wieder gut wird,33
sich ablenken um nicht zu viel darüber nachzudenken,4
Verwandte besuchen (oft),7
mit restlicher Familie darüber sprechen,29
Ablenkung suchen,-1
"sich informieren, wie man Verwandten helfen könnte",-1
"den Verwandten mit Haushalt, angefallenen Aufgaben, … helfen",-1
aus Frust viel essen,31
sich in Arbeit stürzen,-1
Andenken an Verwandte bei sich tragen,22
Ich erkundige mich genauer nach dem Gesundheitszustand,16
"Ich fahre sofort dorthin, um sie zu besuchen",7
"Ich frage nach, ob ich irgendetwas tun kann/helfen kann",-1
Ich rede mit Freunden/Verwandten und erzähle was mich beschäftigt.,-1
Ich schreibe eine Postkarte,10
Erfahren wollen welche Krankheit es ist,16
Sich über Krankheit informieren,16
Experten ausfindig machen,-1
Kranken beistand leisten,16
möglichst viele Pflichten übernehmen,-1
Die Nachricht in der Familie verteilen,29
Sich über das Krankenhaus informieren,-1
Besuch,7
Meditieren,-1
Gespräch mit Freunden/Familie/Fremden,29
"Ablenkung (Sport, Uni etc.)",4
Abwägen des Energieinputs je nach Hilfemöglichkeit,-1
Ich werde ihn besuchen,7
"Ich koche ihm eine suppe, damit es ihm bald wieder besser geht, dann fühle auch ich mich besser",-1
Ich weine,-1
"Ich rede mit meinen Verwandten, was wir tun können",-1
"Ich schaue einen Film, er mich aufmuntert",4
Ich besuche sie.,7
Ich beruhige mich u. vertraue auf die Ärzte im KH.,-1
Ich lasse meiner Trauer freien Lauf.,20
Ich lenke mich mit schöner Musik ab.,4
"Ich tue Dinge, die mich glücklich machen.",-1
Ich besuche ihn/sie,7
Ich bin so gut es geht für ihn/sie da und versuche das Beste draus zu machen und die Zeit mit ihm zu genießen.,-1
"Ich sehe es als eine Erfahrung, durch die man durch muss und aus der man lernen kann",-1
"Ich sehe, dass es schlimmer kommen hätte können",33
Ich lenke mich ab & decke mich mit Arbeit ein,4
Ich rede mit Freunden darüber,28
Sie besuchen und reden,7
Ein Geschenk für sie besorgen,-1
Tief durchatmen,-1
"Gefühle zulassen, weinen",20
Mit Familie reden,29
Anrufen im Krankenhaus,10
Musik hören,-1
Informieren über Krankheit/Behandlungsmethoden,16
Zeit nehmen,-1
Spazieren gehen mit Familie/alleine,-1
Nachdenken über gemeinsame Erlebnisse,-1
Film über ähnliches Schicksal anschauen,-1
Freund umarmen,-1
sofort hinfahren & da sein,7
ignorieren & weitermachen,9
weinen,-1
ein Lied schreiben,4
mit Freundinnen reden,-1
Spaziergang in der Natur,-1
an die Personen ganz fest denken & ihnen Gesundung wünschen,-1
Ins Krankenhaus fahren,7
"Erkundigen, was genau passiert ist",-1
Mit den Ärzten im Krankenhaus reden,-1
sich ablenken,-1
mit anderen Verwandten treffen und sich austauschen,29
Psychologen aufsuchen,6
"Informieren, ob man den nahen Verwandten helfen kann",-1
Ich weine.,20
Ich rufe einen engen Freund an.,10
Ich gehe zu meiner Familie.,7
Ich gehe in die Kirche.,7
Ich besuche die Person im Krankenhaus.,7
Ich nehme mir Urlaub.,-1
Ich höre Musik.,4
Ich schreibe eine Kurzgeschichte/Impression.,-1
Ich esse Eis & trinke Wein.,11
Ich informiere mich über die Krankheit.,16
Ich erinnere mich an gemeinsam Erinnerungen.,22
"Ich überlege, wie ich meinen Verwandten unterstützen kann",21
Ich verkrieche mich bei meiner Freundin und lasse mich trösten,20
Ich lasse mich von meinem Freund mit Sex ablenken,4
Ich fahre ins Krankenhaus und besuche meine Verwandten,7
"Ich rede mit den Ärzten, um mich nicht in Fantasievorstellungen zu verlieren",-1
Ich erkundige mich bei meinen Verwandten was passiert ist,-1
Ich fahre ins Krankenhaus,7
Ich rufe meinen Verwandten im Krankenhaus an,10
Ich weine,20
"Ich bin traurig, warte aber einfach ab",-1
Ich rufe im Krankenhaus an,10
Ich rufe Freunde an um ihnen die Nachricht zu überbringen,-1
"Ich rede mir ein, dass es schon nicht so schlimm sein wird",33
Mit anderen Verwandten darüber reden,-1
Ins Krankenhaus fahren,7
mit Freunden darüber reden,27
mich ablenken,-1
ich besuche meinen Verwandten im Krankenhaus,7
"ich lade Freunde ein, um mich abzulenken",4
ich schaue einen Film,4
"ich machen einen Ausflug an einen Ort, wo ich schon immer hin wollte",-1
ich verbringe viel Zeit mit meinen Verwandten,7
ich verfolge meine eigenen Ziele,23
Ich gehe - wenn möglich - meinen Verwandten besuchen,7
Ich gehe raus und bewege mich,-1
Ich rede mit meinen Freunden über die Situation,-1
"Ich höre Musik, die zu meiner Stimmung passt.",-1
Ich frage mal genau nach was ist und frage ob er/sie vielleicht Besuch möchte:,-1
wenn mit „ja“ zu beantworten ist fahre ich hin und rede und probier mich dadurch zu trösten - es wird schon wieder,33
wenn mit „nein“ - tja - traurig ins Bett liegen bis besser wird,-1
sich ins Krankenhaus begeben und Situation mit Arzt diskutieren,16
sich über Krankheit informieren,16
Freunde/Angehörige aufsuchen,-1
"Mit Familie oder Freunden reden, mit der Verwandten reden",29
"die Verwandte besuchen, Zeit mit ihr verbringen",-1
Musik hören,-1
versuchen es auszublenden,9
Trauer zulassen und weinen,20
der Verwandten so gut wie möglich helfen,-1
Besuche Person im Krankenhaus.,7
Versuche für andere Verwandte da zu sein.,-1
Lenke mich ab um nicht mehr traurig zu sein.,-1
Erkundige mich über Krankheit und Behandlungsmethoden.,16
Durchgehen was sie für ein Leben hatten,22
Mit Freunden darüber reden,27
Alleine sein und einfach weinen,20
Ablenken und nicht daran denken,4
Die Person besuchen,7
An schöne Momente mit dem Verwandten denken,22
Ich besuche sie im Krankenhaus,7
Ich telefoniere mit ihnen,10
Ich spreche mit den näheren Angehörigen,-1
Ich spreche mit meinen Angehörigen,-1
ins Krankenhaus Verwandten besuchen,7
andere Verwandte verständigen,-1
mit Familie zusammen sitzen,7
Mit nahestehenden Personen reden,29
Ruhe bewahren,-1
Trauern,20
"Nach Zustand des Verwandten fragen, im Krankenhaus",-1
Noch so oft es geht kranken Verwandten sehen,-1
Verwandte besuchen,7
mit Familie reden,29
mich über Krankheit informieren,16
ausgehen/etwas fröhliches tun,-1
in Arbeit vertiefen,-1
"Ich fahre sofort ins Krankenhaus, um sie zu besuchen",7
Ich versuche mich erstmal zu beruhigen (tiefes ein- und ausatmen),-1
Ich versuche mich von der Situation erstmal komplett abzulenken,4
"Ich versuche mir vorzustellen, dass alles gut werden wird",33
Ich recherchiere die Krankheit/Verletzung im Internet,16
Ich versuche darüber mit jemandem aus meiner Familie darüber zu reden,-1
Ich wende mich an meine Freunde,-1
Etwas für die Betroffenen tun (persönliches Geschenk und Besuch),22
Auseinandersetzung mit den Hintergründen/Fakten der Erkrankung,16
kleinen Schönheiten im eigenen Alltag suchen und fokussieren,-1
"Linderung durch Ablenkung (Sport, Unterhaltung)",4
Trost erhalten (Freunde),-1
Auseinandersetzung mit „Memento Mori“,-1
Ich besuche sie,7
Ich rufe sie an,10
Ich rede mit Freunden & Verwandten über die Sache,-1
Ich akzeptiere die Situation und besuche sie,-1
Ich ziehe mich zurück und denke über meine Traurigkeit nach,20
Ich fahre sofort wie möglich ins Krankenhaus.,7
Ich fahre zu den Angehörigen (falls KH zu weit weg),7
"Ich schaue, ob ich selbst helfen/was tun kann.",-1
Ich verfolge den Verlauf d. Krankheit genau,16
Ich informiere mich über die Krankheit (falls es nicht ein Autounfall oder so ist),-1
"Ich versuche, optimistisch zu bleiben.",-1
Ich besuche die Verwandte,7
Ich spreche mit Freunden/Verwandten über die Situation,-1
Ich informiere mich über die Krankheit und die Therapiemöglichkeiten,16
Ich erkundige mich bei Ärzten wie/ob ich irgendwie helfen kann,-1
ich besuche die Person sofort,7
"ich überlege mir, warum die Person schwer erkrankte (psychische Ursache)",-1
ich bringe der erkrankten Person Blumen & Schokolade,-1
"ich Kapsel mich ab, um mich um eigene Probleme zu kümmern",-1
"ich rede mit der Person, und versuche sie zu motivieren, schnellstmöglich wieder gesund zu werden",-1
ich bereue die nicht gemeinsam verbrachte Zeit mit der Person,-1
"ich mach mir selbst Vorwürfe, mich nicht genug um die Person gekümmert zu haben",-1
Recherchiere Krankheit,16
Fahre zum Krankenhaus,7
Helfen wo ich kann,21
weinen,-1
mit Vertrauten reden,29
versuchen positiv zu denken,-1
Zeit mit Verwandten verbringen,7
mich mit Situation aus einandersetzen,-1
Ablenken,-1
auf Arbeit konzentrieren,-1
andere Person trösten,-1
Die Person besuchen.,7
Andere Verwandten anrufen und nach Details fragen.,-1
Mit Freunden treffen und ablenken.,4
Mit Familie treffen und darüber reden.,29
Für die Person beten.,-1
Sich über die Krankheit informieren.,16
"Versuchen dankbar zu sein für die Zeit, die man gemeinsam hatte.",22
Der Trauer nachgeben und diese verarbeiten zu versuchen.,-1
"Versuchen für die anderen da zu sein, die das vll mehr trifft.",-1
ins Krankenhaus fahren,7
mit der Familie/Freunden darüber reden,29
den Tränen freien lauf lassen,20
mit dem Dr. reden,-1
mich über die Krankheit informieren,16
sich ablenken,-1
Verwandte im KH besuchen,7
Verwandte mit Aufgaben unterstützen wie z.B. auf sein Kind aufpassen,-1
Mit anderen Verwandten reden,29
Die Nachricht verdrängen und so tun als wär nichts,-1
Mit Freunden darüber sprechen und ablenken,4
Mit Ärzten über Behandlungsalternativen reden,16
einen Besuch planen,7
einen Tag frei nehmen,-1
vom Besten ausgehen,-1
die Nerven mit Schokolade bewahren,11
einen Verwandten anrufen um die Trauer zu teilen,-1
